train_loss,train_acc,test_loss,test_acc,seconds,num_participant_points,e,d,nm,norm
0.1941,0.95,0.1879,0.9541,1.6459,17254,"{""0"": 1.7448771614729444, ""42000"": 3.953545370056925, ""54000"": 10.436930836144679}",1e-05,5.0,5.0
0.2006,0.9496,0.1871,0.9548,1.6427,17294,"{""0"": 1.7524893280472071, ""42000"": 3.9715095809397316, ""54000"": 10.483121322670105}",1e-05,5.0,5.0
0.1924,0.9515,0.1869,0.9537,1.5866,17280,"{""0"": 1.7601014946214704, ""42000"": 3.989473791822539, ""54000"": 10.529311809195528}",1e-05,5.0,5.0
0.1847,0.9537,0.1855,0.9551,1.5822,17304,"{""0"": 1.7677136611957331, ""42000"": 4.007438002705346, ""54000"": 10.575502295720952}",1e-05,5.0,5.0
0.1921,0.9515,0.1846,0.9558,1.5782,17241,"{""0"": 1.7753258277699961, ""42000"": 4.025402213588153, ""54000"": 10.621692782246377}",1e-05,5.0,5.0
0.1966,0.95,0.1843,0.9556,1.6478,17344,"{""0"": 1.7829379943442591, ""42000"": 4.0433664244709595, ""54000"": 10.667883268771803}",1e-05,5.0,5.0
0.1821,0.9524,0.1848,0.9559,1.6618,17353,"{""0"": 1.7905501609185221, ""42000"": 4.061330635353766, ""54000"": 10.714073755297226}",1e-05,5.0,5.0
0.1882,0.9517,0.1837,0.9553,1.641,17219,"{""0"": 1.7981623274927852, ""42000"": 4.079294846236573, ""54000"": 10.76026424182265}",1e-05,5.0,5.0
0.1987,0.9491,0.1822,0.9566,1.5662,17080,"{""0"": 1.8057744940670482, ""42000"": 4.0972590571193805, ""54000"": 10.806454728348076}",1e-05,5.0,5.0
0.1949,0.9514,0.1814,0.9562,1.5695,17145,"{""0"": 1.8133866606413112, ""42000"": 4.115223268002187, ""54000"": 10.852645214873501}",1e-05,5.0,5.0
0.1872,0.9531,0.1809,0.9566,1.5797,17236,"{""0"": 1.8209988272155742, ""42000"": 4.133187478884994, ""54000"": 10.898835701398925}",1e-05,5.0,5.0
0.1875,0.9528,0.1806,0.9573,1.6459,17355,"{""0"": 1.828610993789837, ""42000"": 4.151151689767801, ""54000"": 10.945026187924348}",1e-05,5.0,5.0
0.1873,0.9522,0.1805,0.9559,1.6317,17200,"{""0"": 1.8362231603641, ""42000"": 4.169115900650608, ""54000"": 10.991216674449774}",1e-05,5.0,5.0
0.1765,0.9543,0.1808,0.957,1.6396,17214,"{""0"": 1.843835326938363, ""42000"": 4.187080111533415, ""54000"": 11.037407160975198}",1e-05,5.0,5.0
0.1937,0.9524,0.1791,0.9568,1.583,17290,"{""0"": 1.851447493512626, ""42000"": 4.205044322416222, ""54000"": 11.083597647500621}",1e-05,5.0,5.0
0.1902,0.9525,0.178,0.9568,1.5917,17325,"{""0"": 1.859059660086889, ""42000"": 4.223008533299028, ""54000"": 11.129788134026047}",1e-05,5.0,5.0
0.1843,0.954,0.1776,0.9565,1.5671,17101,"{""0"": 1.866671826661152, ""42000"": 4.2409727441818355, ""54000"": 11.175978620551472}",1e-05,5.0,5.0
0.1904,0.9528,0.1774,0.9562,1.6634,17497,"{""0"": 1.8736323700611348, ""42000"": 4.258936955064643, ""54000"": 11.222169107076896}",1e-05,5.0,5.0
0.1838,0.9536,0.1763,0.9567,1.6499,17300,"{""0"": 1.880507346559532, ""42000"": 4.27690116594745, ""54000"": 11.26835959360232}",1e-05,5.0,5.0
0.181,0.9537,0.1764,0.957,1.6523,17310,"{""0"": 1.8873823230579285, ""42000"": 4.2948653768302565, ""54000"": 11.314550080127745}",1e-05,5.0,5.0
0.183,0.9533,0.1755,0.9575,1.6658,17384,"{""0"": 1.8942572995563256, ""42000"": 4.312829587713063, ""54000"": 11.360740566653169}",1e-05,5.0,5.0
0.187,0.9543,0.1755,0.9575,1.5751,17184,"{""0"": 1.9011322760547222, ""42000"": 4.33079379859587, ""54000"": 11.406931053178592}",1e-05,5.0,5.0
0.1711,0.9562,0.1754,0.9576,1.603,17453,"{""0"": 1.9080072525531193, ""42000"": 4.3487580094786775, ""54000"": 11.453121539704018}",1e-05,5.0,5.0
0.1869,0.9539,0.1751,0.9571,1.6646,17433,"{""0"": 1.914882229051516, ""42000"": 4.366722220361484, ""54000"": 11.499312026229443}",1e-05,5.0,5.0
0.1813,0.9547,0.1735,0.9585,1.6431,17204,"{""0"": 1.921757205549913, ""42000"": 4.384686431244291, ""54000"": 11.545502512754867}",1e-05,5.0,5.0
0.185,0.9538,0.1741,0.9568,1.679,17288,"{""0"": 1.9286321820483097, ""42000"": 4.402650642127098, ""54000"": 11.59169299928029}",1e-05,5.0,5.0
0.1835,0.9544,0.1732,0.958,1.652,17295,"{""0"": 1.9355071585467067, ""42000"": 4.420614853009905, ""54000"": 11.637883485805716}",1e-05,5.0,5.0
0.1834,0.9535,0.1721,0.9584,1.5925,17324,"{""0"": 1.9423821350451038, ""42000"": 4.438579063892712, ""54000"": 11.68407397233114}",1e-05,5.0,5.0
0.1761,0.9546,0.1717,0.9581,1.5864,17344,"{""0"": 1.9492571115435005, ""42000"": 4.456543274775519, ""54000"": 11.730264458856563}",1e-05,5.0,5.0
